iter	Passed	Remaining
0	134	133884
1	136	67877
2	138	45879
3	139	34856
4	141	28224
5	143	23802
6	145	20654
7	147	18308
8	149	16485
9	151	15036
10	153	13831
11	155	12831
12	157	11977
13	159	11248
14	161	10623
15	163	10065
16	165	9574
17	167	9136
18	169	8746
19	171	8391
20	173	8077
21	175	7795
22	177	7534
23	179	7298
24	181	7084
25	184	6902
26	186	6717
27	188	6543
28	190	6381
29	192	6224
30	194	6088
31	196	5956
32	199	5831
33	200	5707
34	202	5589
35	204	5485
36	206	5380
37	208	5286
38	210	5191
39	212	5106
40	214	5021
41	216	4946
42	218	4869
43	220	4801
44	222	4727
45	224	4648
46	225	4575
47	227	4505
48	228	4438
49	230	4370
50	231	4305
51	232	4237
52	233	4173
53	234	4116
54	236	4056
55	237	4000
56	238	3943
57	239	3891
58	240	3836
59	241	3786
60	242	3736
61	243	3690
62	245	3644
63	245	3595
64	247	3556
65	248	3521
66	250	3481
67	250	3435
68	251	3399
69	253	3366
70	254	3335
71	256	3302
72	257	3267
73	258	3238
74	260	3209
75	261	3182
76	263	3153
77	264	3123
78	265	3094
79	266	3065
80	267	3035
81	268	3007
82	269	2980
83	271	2955
84	271	2924
85	272	2898
86	273	2869
87	274	2848
88	276	2825
89	277	2802
90	278	2780
91	279	2758
92	280	2736
93	281	2716
94	282	2695
95	284	2675
96	285	2655
97	286	2635
98	287	2616
99	288	2597
100	290	2581
101	290	2559
102	292	2544
103	293	2527
104	294	2510
105	295	2494
106	297	2480
107	298	2464
108	299	2450
109	301	2436
110	302	2423
111	303	2409
112	305	2395
113	306	2381
114	307	2366
115	308	2350
116	309	2335
117	310	2322
118	312	2311
119	313	2297
120	314	2283
121	315	2270
122	315	2252
123	317	2241
124	318	2228
125	319	2215
126	320	2203
127	321	2187
128	322	2175
129	323	2162
130	324	2151
131	325	2139
132	326	2127
133	327	2115
134	328	2102
135	329	2090
136	330	2079
137	331	2068
138	332	2059
139	333	2049
140	334	2040
141	336	2031
142	337	2020
143	338	2010
144	339	2001
145	340	1993
146	342	1984
147	343	1975
148	344	1968
149	345	1959
150	346	1950
151	348	1942
152	349	1936
153	351	1929
154	352	1922
155	353	1915
156	355	1907
157	356	1899
158	357	1892
159	359	1884
160	360	1878
161	361	1871
162	362	1863
163	364	1855
164	365	1848
165	366	1840
166	367	1832
167	368	1825
168	369	1817
169	370	1810
170	371	1803
171	372	1795
172	373	1786
173	374	1779
174	375	1772
175	376	1764
176	378	1757
177	379	1750
178	380	1743
179	381	1735
180	381	1726
181	382	1719
182	383	1712
183	384	1705
184	385	1698
185	386	1691
186	387	1684
187	388	1677
188	389	1671
189	390	1664
190	391	1657
191	392	1651
192	393	1645
193	394	1638
194	395	1632
195	396	1626
196	397	1619
197	398	1613
198	399	1607
199	400	1601
200	401	1595
201	402	1588
202	403	1582
203	404	1576
204	405	1570
205	406	1565
206	407	1559
207	408	1553
208	409	1548
209	410	1543
210	411	1537
211	412	1532
212	413	1527
213	414	1523
214	419	1532
215	420	1527
216	421	1522
217	423	1518
218	424	1514
219	426	1511
220	427	1506
221	428	1501
222	429	1497
223	431	1493
224	432	1489
225	433	1485
226	435	1481
227	436	1477
228	437	1472
229	438	1468
230	439	1463
231	440	1459
232	442	1455
233	443	1451
234	444	1446
235	445	1441
236	446	1436
237	447	1431
238	448	1426
239	449	1422
240	450	1417
241	450	1412
242	451	1407
243	452	1403
244	453	1398
245	454	1394
246	455	1389
247	457	1387
248	458	1382
249	459	1378
250	460	1373
251	461	1369
252	462	1364
253	462	1359
254	463	1354
255	464	1350
256	465	1346
257	466	1342
258	467	1338
259	468	1334
260	469	1329
261	470	1324
262	471	1320
263	472	1316
264	472	1311
265	473	1307
266	474	1303
267	475	1298
268	476	1294
269	477	1290
270	478	1286
271	479	1282
272	480	1278
273	480	1274
274	482	1270
275	482	1266
276	483	1262
277	484	1258
278	485	1254
279	486	1250
280	487	1246
281	488	1242
282	489	1239
283	490	1235
284	490	1231
285	491	1227
286	492	1224
287	493	1220
288	494	1216
289	495	1213
290	496	1209
291	497	1206
292	498	1202
293	499	1199
294	500	1195
295	501	1192
296	502	1188
297	503	1185
298	504	1181
299	504	1178
300	505	1174
301	506	1171
302	507	1168
303	509	1165
304	510	1162
305	511	1159
306	512	1156
307	513	1152
308	514	1149
309	515	1146
310	516	1143
311	517	1141
312	518	1138
313	519	1135
314	520	1132
315	521	1129
316	522	1126
317	523	1123
318	524	1120
319	525	1116
320	526	1113
321	527	1110
322	528	1107
323	529	1104
324	530	1101
325	531	1097
326	531	1094
327	532	1091
328	533	1089
329	535	1086
330	536	1083
331	537	1080
332	538	1077
333	539	1075
334	540	1072
335	541	1070
336	542	1067
337	543	1064
338	544	1060
339	544	1057
340	545	1055
341	546	1052
342	547	1049
343	548	1046
344	549	1043
345	550	1040
346	551	1037
347	552	1034
348	553	1031
349	554	1029
350	555	1026
351	555	1023
352	556	1020
353	557	1018
354	558	1015
355	559	1012
356	560	1010
357	562	1007
358	562	1005
359	563	1002
360	565	1000
361	565	997
362	566	994
363	567	992
364	568	989
365	569	987
366	570	984
367	571	982
368	572	979
369	574	977
370	575	975
371	576	972
372	577	970
373	578	968
374	579	965
375	580	963
376	581	960
377	582	958
378	583	956
379	584	953
380	585	951
381	586	948
382	587	946
383	588	943
384	589	941
385	590	938
386	591	936
387	592	934
388	593	932
389	594	929
390	595	927
391	596	924
392	597	922
393	597	919
394	601	921
395	603	919
396	604	917
397	605	915
398	606	913
399	607	910
400	608	908
401	609	906
402	610	904
403	611	902
404	612	899
405	613	897
406	614	895
407	615	893
408	616	891
409	617	888
410	618	886
411	619	884
412	620	882
413	621	880
414	622	878
415	623	875
416	625	873
417	626	871
418	626	869
419	627	867
420	628	864
421	629	862
422	630	860
423	631	858
424	632	855
425	633	853
426	634	851
427	635	849
428	636	846
429	637	844
430	638	842
431	639	840
432	640	838
433	640	835
434	641	833
435	642	831
436	643	828
437	644	826
438	645	824
439	646	822
440	647	820
441	648	818
442	649	816
443	650	814
444	651	811
445	651	809
446	652	807
447	653	805
448	654	803
449	655	800
450	656	798
451	657	796
452	657	794
453	658	792
454	659	790
455	660	787
456	661	785
457	662	783
458	662	781
459	663	779
460	664	777
461	665	775
462	666	773
463	667	771
464	668	768
465	669	766
466	669	764
467	670	762
468	671	760
469	672	758
470	673	756
471	674	754
472	675	752
473	676	750
474	677	749
475	678	747
476	679	745
477	680	743
478	681	741
479	682	739
480	683	737
481	684	735
482	685	733
483	685	731
484	686	729
485	687	727
486	688	725
487	689	723
488	690	721
489	691	719
490	692	717
491	693	716
492	694	714
493	695	712
494	696	710
495	697	709
496	699	707
497	700	705
498	700	703
499	701	701
500	702	700
501	703	698
502	704	696
503	705	694
504	706	692
505	707	690
506	708	688
507	709	686
508	710	685
509	711	683
510	712	681
511	712	679
512	713	677
513	714	675
514	715	674
515	716	672
516	718	670
517	719	669
518	720	667
519	721	665
520	721	663
521	722	661
522	723	660
523	724	658
524	725	656
525	726	654
526	727	652
527	728	650
528	729	649
529	729	647
530	730	645
531	731	643
532	732	642
533	733	640
534	734	638
535	735	636
536	736	635
537	737	633
538	738	631
539	739	629
540	740	628
541	741	626
542	742	624
543	743	622
544	743	621
545	744	619
546	746	617
547	747	616
548	748	614
549	749	613
550	750	611
551	750	609
552	751	607
553	752	605
554	753	604
555	754	602
556	755	600
557	756	598
558	756	597
559	757	595
560	758	593
561	759	591
562	760	590
563	761	588
564	762	586
565	763	585
566	764	583
567	765	581
568	765	580
569	766	578
570	767	576
571	768	575
572	769	573
573	770	571
574	771	570
575	772	568
576	773	566
577	774	565
578	775	563
579	775	561
580	776	560
581	777	558
582	778	556
583	779	555
584	780	553
585	781	551
586	782	550
587	782	548
588	783	546
589	784	545
590	785	543
591	786	541
592	787	540
593	787	538
594	788	537
595	789	535
596	790	533
597	791	532
598	792	530
599	793	528
600	794	527
601	794	525
602	795	523
603	796	522
604	797	520
605	799	519
606	800	518
607	801	516
608	802	515
609	803	513
610	804	512
611	805	510
612	806	509
613	808	507
614	809	506
615	810	505
616	811	503
617	812	502
618	814	501
619	815	499
620	816	498
621	817	496
622	818	495
623	819	493
624	820	492
625	821	490
626	821	488
627	822	487
628	823	485
629	824	484
630	825	482
631	826	481
632	827	479
633	828	478
634	829	476
635	830	475
636	831	473
637	832	472
638	833	470
639	833	469
640	834	467
641	835	466
642	836	464
643	837	462
644	838	461
645	839	459
646	840	458
647	841	456
648	841	455
649	842	453
650	843	452
651	844	450
652	845	449
653	846	447
654	847	446
655	848	444
656	848	443
657	849	441
658	850	440
659	851	438
660	852	437
661	853	435
662	854	434
663	854	432
664	855	431
665	856	429
666	857	428
667	858	426
668	859	425
669	860	423
670	860	422
671	861	420
672	862	419
673	863	417
674	864	416
675	865	414
676	866	413
677	867	411
678	868	410
679	868	408
680	869	407
681	870	406
682	871	404
683	872	403
684	873	401
685	874	400
686	875	398
687	876	397
688	877	395
689	877	394
690	878	393
691	879	391
692	880	390
693	881	388
694	882	387
695	883	385
696	884	384
697	885	383
698	886	381
699	886	380
700	887	378
701	888	377
702	889	375
703	890	374
704	891	373
705	891	371
706	892	370
707	893	368
708	894	367
709	895	365
710	896	364
711	897	363
712	898	361
713	899	360
714	900	358
715	901	357
716	901	356
717	902	354
718	903	353
719	904	351
720	905	350
721	906	349
722	907	347
723	908	346
724	909	344
725	910	343
726	911	342
727	911	340
728	912	339
729	913	337
730	914	336
731	915	335
732	916	333
733	917	332
734	918	330
735	918	329
736	919	328
737	920	326
738	921	325
739	922	324
740	923	322
741	924	321
742	925	319
743	925	318
744	926	317
745	927	315
746	928	314
747	929	313
748	930	311
749	931	310
750	932	309
751	933	307
752	934	306
753	935	305
754	936	303
755	937	302
756	938	301
757	939	299
758	940	298
759	941	297
760	942	295
761	943	294
762	944	293
763	945	292
764	946	290
765	947	289
766	948	288
767	949	286
768	949	285
769	950	284
770	951	282
771	952	281
772	953	279
773	954	278
774	955	277
775	956	276
776	957	274
777	958	273
778	959	272
779	960	270
780	961	269
781	962	268
782	963	266
783	964	265
784	965	264
785	966	263
786	966	261
787	967	260
788	968	259
789	969	257
790	970	256
791	971	255
792	971	253
793	972	252
794	973	251
795	974	249
796	975	248
797	976	247
798	976	245
799	977	244
800	978	243
801	979	241
802	980	240
803	980	239
804	981	237
805	982	236
806	983	235
807	984	233
808	984	232
809	985	231
810	986	229
811	987	228
812	988	227
813	989	226
814	990	224
815	990	223
816	991	222
817	992	220
818	993	219
819	994	218
820	995	216
821	996	215
822	997	214
823	998	213
824	998	211
825	999	210
826	1000	209
827	1001	208
828	1002	206
829	1003	205
830	1004	204
831	1005	202
832	1005	201
833	1006	200
834	1007	199
835	1008	197
836	1009	196
837	1010	195
838	1010	193
839	1011	192
840	1012	191
841	1013	190
842	1014	188
843	1015	187
844	1016	186
845	1016	185
846	1017	183
847	1018	182
848	1019	181
849	1020	180
850	1020	178
851	1021	177
852	1022	176
853	1023	174
854	1024	173
855	1025	172
856	1026	171
857	1026	169
858	1027	168
859	1028	167
860	1029	166
861	1030	164
862	1030	163
863	1031	162
864	1032	161
865	1033	159
866	1034	158
867	1034	157
868	1035	156
869	1036	154
870	1037	153
871	1038	152
872	1038	151
873	1039	149
874	1040	148
875	1041	147
876	1042	146
877	1043	144
878	1043	143
879	1044	142
880	1045	141
881	1046	139
882	1047	138
883	1047	137
884	1048	136
885	1049	135
886	1050	133
887	1051	132
888	1052	131
889	1052	130
890	1053	128
891	1054	127
892	1055	126
893	1056	125
894	1057	124
895	1058	122
896	1058	121
897	1059	120
898	1060	119
899	1061	117
900	1062	116
901	1063	115
902	1065	114
903	1066	113
904	1067	112
905	1068	110
906	1069	109
907	1069	108
908	1070	107
909	1071	105
910	1072	104
911	1073	103
912	1074	102
913	1075	101
914	1076	99
915	1076	98
916	1077	97
917	1078	96
918	1079	95
919	1080	93
920	1080	92
921	1081	91
922	1082	90
923	1083	89
924	1084	87
925	1084	86
926	1085	85
927	1086	84
928	1087	83
929	1088	81
930	1089	80
931	1090	79
932	1091	78
933	1091	77
934	1092	75
935	1093	74
936	1094	73
937	1094	72
938	1095	71
939	1096	69
940	1097	68
941	1098	67
942	1099	66
943	1099	65
944	1100	64
945	1101	62
946	1102	61
947	1103	60
948	1103	59
949	1104	58
950	1105	56
951	1106	55
952	1107	54
953	1107	53
954	1108	52
955	1109	51
956	1110	49
957	1111	48
958	1111	47
959	1112	46
960	1113	45
961	1114	44
962	1115	42
963	1116	41
964	1117	40
965	1118	39
966	1118	38
967	1119	37
968	1120	35
969	1121	34
970	1122	33
971	1122	32
972	1123	31
973	1124	30
974	1125	28
975	1126	27
976	1127	26
977	1128	25
978	1128	24
979	1129	23
980	1130	21
981	1131	20
982	1132	19
983	1132	18
984	1133	17
985	1134	16
986	1135	14
987	1136	13
988	1136	12
989	1137	11
990	1138	10
991	1139	9
992	1140	8
993	1141	6
994	1141	5
995	1142	4
996	1143	3
997	1144	2
998	1145	1
999	1146	0
